,date,sugar_eu,sugar_us,sugar_world
107,1968-12-01,0.112215158,0.1543234,0.0602
108,1969-01-01,0.112215158,0.15652802,0.0635
109,1969-02-01,0.112215158,0.15652802,0.0688
110,1969-03-01,0.112215158,0.15873264,0.0774
111,1969-04-01,0.112215158,0.15873264,0.0805
112,1969-05-01,0.112215158,0.15873264,0.0805
113,1969-06-01,0.112215158,0.15873264,0.0803
114,1969-07-01,0.112215158,0.14991416,0.0765
115,1969-08-01,0.112215158,0.15873264,0.065
116,1969-09-01,0.112215158,0.15873264,0.0604
117,1969-10-01,0.112215158,0.16093726,0.065
118,1969-11-01,0.112215158,0.15873264,0.067
119,1969-12-01,0.112215158,0.1543234,0.0622
120,1970-01-01,0.112215158,0.1653465,0.0791
121,1970-02-01,0.112215158,0.16314188,0.069
122,1970-03-01,0.112215158,0.16093726,0.0745
123,1970-04-01,0.112215158,0.16093726,0.0787
124,1970-05-01,0.112215158,0.16755112,0.0805
125,1970-06-01,0.112215158,0.16755112,0.0842
126,1970-07-01,0.112215158,0.16755112,0.0842
127,1970-08-01,0.112215158,0.16755112,0.0841
128,1970-09-01,0.112215158,0.16755112,0.0853
129,1970-10-01,0.112215158,0.16755112,0.0866
130,1970-11-01,0.112215158,0.16314188,0.0901
131,1970-12-01,0.112215158,0.1653465,0.0906
132,1971-01-01,0.112215158,0.16975574,0.104
133,1971-02-01,0.112215158,0.17416498,0.1063
134,1971-03-01,0.112215158,0.17196036,0.1034
135,1971-04-01,0.112215158,0.16975574,0.1005
136,1971-05-01,0.112215158,0.17416498,0.0961
137,1971-06-01,0.112215158,0.1763696,0.0915
138,1971-07-01,0.112215158,0.1763696,0.092
139,1971-08-01,0.113758392,0.17857422,0.0937
140,1971-09-01,0.115522088,0.17416498,0.0879
141,1971-10-01,0.116403936,0.17416498,0.0928
142,1971-11-01,0.116624398,0.1763696,0.0935
143,1971-12-01,0.118167632,0.18298346,0.1275
144,1972-01-01,0.1543234,0.19180194,0.1741
145,1972-02-01,0.156087096,0.1873927,0.181
146,1972-03-01,0.157189406,0.18959732,0.185
147,1972-04-01,0.15652802,0.18518808,0.156
148,1972-05-01,0.15652802,0.17857422,0.1462
149,1972-06-01,0.154543862,0.18077884,0.1395
150,1972-07-01,0.146386768,0.1873927,0.1225
151,1972-08-01,0.146827692,0.19400656,0.1378
152,1972-09-01,0.146386768,0.19400656,0.1558
153,1972-10-01,0.143741224,0.19400656,0.1633
154,1972-11-01,0.14109568,0.18518808,0.1604
155,1972-12-01,0.140654756,0.18959732,0.2017
156,1973-01-01,0.141316142,0.206793356,0.2072
157,1973-02-01,0.14550492,0.201502268,0.1979
158,1973-03-01,0.148591388,0.208116128,0.1933
159,1973-04-01,0.14881185,0.21274583,0.1982
160,1973-05-01,0.151677856,0.221784772,0.2001
161,1973-06-01,0.154543862,0.22597355,0.2067
162,1973-07-01,0.152339242,0.22597355,0.2098
163,1973-08-01,0.148591388,0.23699665,0.1977
164,1973-09-01,0.145284458,0.241846814,0.1977
165,1973-10-01,0.14550492,0.24581513,0.2096
166,1973-11-01,0.1433003,0.24471282,0.2235
167,1973-12-01,0.139111522,0.250003908,0.2612
168,1974-01-01,0.18188115,0.278443506,0.3342
169,1974-02-01,0.186069928,0.376769558,0.465
170,1974-03-01,0.191140554,0.399256682,0.4652
171,1974-04-01,0.195329332,0.424168888,0.4762
172,1974-05-01,0.19731349,0.507944448,0.521
173,1974-06-01,0.195549794,0.57871275,0.5183
174,1974-07-01,0.195329332,0.62500977,0.5518
175,1974-08-01,0.19180194,0.718926582,0.6753
176,1974-09-01,0.319008514,0.743177402,0.7529
177,1974-10-01,0.321433596,0.855833484,0.8708
178,1974-11-01,0.32077221,1.26324726,1.2377
179,1974-12-01,0.32077221,1.028234768,0.9894
180,1975-01-01,0.604727266,0.88515493,0.8445
181,1975-02-01,0.330031614,0.795206434,0.7491
182,1975-03-01,0.33399993,0.628757624,0.582
183,1975-04-01,0.328929304,0.574744434,0.528
184,1975-05-01,0.332456696,0.424830274,0.3909
185,1975-06-01,0.332456696,0.351857352,0.3009
186,1975-07-01,0.316583432,0.438498918,0.368
187,1975-08-01,0.305119408,0.465395282,0.4102
188,1975-09-01,0.29982832,0.382722032,0.3417
189,1975-10-01,0.301812478,0.34061379,0.3101
190,1975-11-01,0.301371554,0.331354386,0.2969
191,1975-12-01,0.2976237,0.32628376,0.2908
192,1976-01-01,0.297403238,0.339952404,0.3091
193,1976-02-01,0.295639542,0.331574848,0.2976
194,1976-03-01,0.288584758,0.358691674,0.3261
195,1976-04-01,0.2976237,0.343479796,0.3097
196,1976-05-01,0.295639542,0.352077814,0.3206
197,1976-06-01,0.29321446,0.31746528,0.2864
198,1976-07-01,0.292993998,0.321654058,0.2912
199,1976-08-01,0.293875846,0.249562984,0.2209
200,1976-09-01,0.295639542,0.21605276,0.1792
201,1976-10-01,0.295860004,0.23479203,0.177
202,1976-11-01,0.29652139,0.230603252,0.1737
203,1976-12-01,0.299607858,0.225312164,0.1664
204,1977-01-01,0.299387396,0.24140589,0.1839
205,1977-02-01,0.298285086,0.243830972,0.1894
206,1977-03-01,0.299166934,0.257279154,0.198
207,1977-04-01,0.300489706,0.277120734,0.2213
208,1977-05-01,0.307764952,0.250003908,0.1986
209,1977-06-01,0.307764952,0.226634936,0.1735
210,1977-07-01,0.31305604,0.22376893,0.1629
211,1977-08-01,0.311512806,0.247137902,0.1678
212,1977-09-01,0.310190034,0.229500942,0.1612
213,1977-10-01,0.314599274,0.225753088,0.1563
214,1977-11-01,0.317906204,0.229721404,0.1559
215,1977-12-01,0.326945146,0.25904285,0.1784
216,1978-01-01,0.33399993,0.292773536,0.1933
217,1978-02-01,0.336425012,0.32518145,0.187
218,1978-03-01,0.343479796,0.3086468,0.1706
219,1978-04-01,0.343479796,0.307103566,0.1673
220,1978-05-01,0.332677158,0.300269244,0.1616
221,1978-06-01,0.336425012,0.299166934,0.1594
222,1978-07-01,0.349873194,0.278443506,0.1418
223,1978-08-01,0.357589364,0.292993998,0.1561
224,1978-09-01,0.361337218,0.317685742,0.1801
225,1978-10-01,0.379856026,0.346345802,0.1975
226,1978-11-01,0.367951078,0.313937888,0.1766
227,1978-12-01,0.371258008,0.31415835,0.1764
228,1979-01-01,0.377651406,0.322535906,0.1669
229,1979-02-01,0.37588771,0.337527322,0.1814
230,1979-03-01,0.37588771,0.342377486,0.1865
231,1979-04-01,0.371919394,0.315040198,0.1724
232,1979-05-01,0.367730616,0.315922046,0.1731
233,1979-06-01,0.372139856,0.322094982,0.1795
234,1979-07-01,0.473552376,0.343700258,0.1878
235,1979-08-01,0.472009142,0.348770884,0.1956
236,1979-09-01,0.477079768,0.346566264,0.2182
237,1979-10-01,0.47509561,0.350755042,0.262
238,1979-11-01,0.476859306,0.359132598,0.303
239,1979-12-01,0.487882406,0.40344546,0.329
240,1980-01-01,0.49273257,0.433428292,0.381
241,1980-02-01,0.488102868,0.544320678,0.5
242,1980-03-01,0.463411124,0.466938516,0.433
243,1980-04-01,0.45966327,0.499787354,0.468
244,1980-05-01,0.478623002,0.703053318,0.6816
245,1980-06-01,0.485677786,0.70768302,0.679
246,1980-07-01,0.51698339,0.63382825,0.609
247,1980-08-01,0.5070626,0.730611068,0.7028
248,1980-09-01,0.507723986,0.772278386,0.7649
249,1980-10-01,0.49714181,0.91932654,0.894
250,1980-11-01,0.479284388,0.865974736,0.833
251,1980-12-01,0.46627713,0.667779398,0.633
252,1981-01-01,0.461647428,0.651906134,0.616
253,1981-02-01,0.432987368,0.574744434,0.532
254,1981-03-01,0.432766906,0.524920022,0.4966
255,1981-04-01,0.421523344,0.438939842,0.3931
256,1981-05-01,0.397272524,0.384265266,0.3305
257,1981-06-01,0.38250157,0.41777549,0.361
258,1981-07-01,0.40234315,0.42108242,0.3602
259,1981-08-01,0.392201898,0.384044804,0.33
260,1981-09-01,0.411602554,0.341495638,0.2568
261,1981-10-01,0.422846116,0.345243492,0.2655
262,1981-11-01,0.42769628,0.358912136,0.2622
263,1981-12-01,0.421964268,0.376328634,0.2851
264,1982-01-01,0.41557087,0.400358992,0.2862
265,1982-02-01,0.402122688,0.391760974,0.2884
266,1982-03-01,0.394406518,0.377651406,0.2484
267,1982-04-01,0.388674506,0.394406518,0.2103
268,1982-05-01,0.40234315,0.431444134,0.1792
269,1982-06-01,0.380737874,0.463631586,0.151
270,1982-07-01,0.408516086,0.48832333,0.1726
271,1982-08-01,0.405870542,0.49493719,0.149
272,1982-09-01,0.40124084,0.460324656,0.13
273,1982-10-01,0.396611138,0.450624328,0.1302
274,1982-11-01,0.390438202,0.458340498,0.1433
275,1982-12-01,0.406972852,0.459222346,0.1391
276,1983-01-01,0.41005932,0.468040826,0.1327
277,1983-02-01,0.40234315,0.479725312,0.1417
278,1983-03-01,0.400358992,0.481929932,0.1367
279,1983-04-01,0.394186056,0.494496266,0.1479
280,1983-05-01,0.392201898,0.49824412,0.2036
281,1983-06-01,0.38029695,0.496921348,0.2368
