,sugar_world,sugar_world_past_ma10
0,0.0666,
1,0.0679,0.0666
2,0.0683,0.06725
3,0.0681,0.06760000000000001
4,0.0683,0.06772500000000001
5,0.0666,0.06784
6,0.0728,0.06763333333333334
7,0.0741,0.06837142857142857
8,0.0725,0.0690875
9,0.0538,0.06946666666666666
10,0.052,0.0679
11,0.0635,0.06644
12,0.0646,0.066
13,0.0626,0.06563
14,0.0626,0.06508
15,0.0668,0.06451
16,0.0703,0.06453
17,0.0655,0.06428
18,0.0609,0.06342
19,0.0536,0.06226
20,0.0542,0.06224
21,0.0527,0.06246
22,0.0509,0.061380000000000004
23,0.0487,0.06001000000000001
24,0.0465,0.058620000000000005
25,0.0498,0.05700999999999999
26,0.0558,0.055310000000000005
27,0.0571,0.05386
28,0.0553,0.05302
29,0.0562,0.05245999999999999
30,0.0621,0.05272
31,0.0646,0.05351
32,0.0626,0.054700000000000006
33,0.0666,0.055869999999999996
34,0.0754,0.05766
35,0.0882,0.06055000000000001
36,0.1157,0.06438999999999999
37,0.1305,0.07038
38,0.1431,0.07772
39,0.1647,0.08650000000000001
40,0.2191,0.09735
41,0.2154,0.11305000000000001
42,0.1975,0.12813000000000002
43,0.1413,0.14162000000000002
44,0.1607,0.14909
45,0.2304,0.15762
46,0.2542,0.17184000000000002
47,0.2262,0.18569
48,0.231,0.19526000000000002
49,0.1991,0.20405
50,0.1612,0.20749
51,0.1711,0.2017
52,0.1545,0.19727
53,0.1155,0.19297
54,0.1034,0.19039
55,0.0933,0.18466
56,0.0783,0.17095
57,0.0769,0.15336
58,0.0725,0.13843
59,0.0591,0.12258
60,0.0513,0.10858000000000001
61,0.0476,0.09759
62,0.0534,0.08524
63,0.0512,0.07513
64,0.0496,0.06870000000000001
65,0.0412,0.06332
66,0.0408,0.05811000000000001
67,0.0377,0.05436
68,0.039,0.05044
69,0.0428,0.04709
70,0.0377,0.04546
71,0.0383,0.04409999999999999
72,0.0531,0.04317
73,0.0489,0.04314
74,0.0472,0.04291
75,0.0452,0.04267
76,0.045,0.04307
77,0.037,0.043489999999999994
