CAAV Dataset,,,,,,,,,,,,,,,
Video_ID,Action_description,POV,Gender,V_M_Tot,V_SD_Tot,A_M_Tot,A_SD_Tot,V_M_Fem,V_SD_Fem,V_M_Mal,V_SD_Mal,A_M_Fem,A_SD_Fem,A_M_Mal,A_SD_Mal
3_M_050,Folding a sheet of paper,3,M,4.55,1.36,1.84,1.47,4.33,1.39,4.79,1.32,1.69,1.00,2.00,1.84
1_F_051,Folding a t-shirt,1,F,4.88,1.98,2.39,1.95,4.38,1.98,5.38,1.88,3.03,2.36,1.73,1.11
1_M_051,Folding a t-shirt,1,M,6.07,1.47,2.39,1.89,5.97,1.06,6.19,1.88,2.71,1.94,2.07,1.82
3_F_051,Folding a t-shirt,3,F,5.10,2.20,2.33,2.04,5.24,2.05,4.95,2.41,2.47,2.12,2.19,1.97
3_M_051,Folding a t-shirt,3,M,4.18,1.72,2.81,2.22,4.23,1.78,4.13,1.68,2.38,1.70,3.22,2.59
1_F_052,Putting down a pair of glasses,1,F,5.49,1.26,1.85,1.93,5.55,1.31,5.43,1.22,2.08,2.13,1.63,1.71
1_M_052,Putting down a pair of glasses,1,M,5.27,1.70,1.90,1.71,5.27,1.80,5.27,1.64,2.23,2.00,1.57,1.30
3_F_052,Putting down a pair of glasses,3,F,5.33,1.51,2.73,2.17,5.19,1.49,5.50,1.56,2.32,1.91,3.14,2.37
3_M_052,Putting down a pair of glasses,3,M,5.83,1.80,2.14,1.92,5.48,1.69,6.21,1.87,2.28,2.08,2.00,1.75
1_F_053,Putting a pen back in its case,1,F,5.23,1.66,1.70,1.35,4.85,1.54,5.62,1.72,2.00,1.67,1.40,0.81
1_M_053,Putting a pen back in its case,1,M,5.62,0.97,2.20,1.59,5.63,0.87,5.62,1.10,2.61,1.89,1.79,1.10
3_F_053,Putting a pen back in its case,3,F,5.03,1.21,2.27,1.83,5.00,1.05,5.05,1.39,2.13,1.72,2.42,1.96
3_M_053,Putting a pen back in its case,3,M,5.66,1.42,2.11,2.10,5.39,1.36,5.93,1.46,2.35,2.40,1.89,1.78
1_F_054,Writing on a blackboard,1,F,5.20,1.87,2.70,2.25,5.48,1.81,4.89,1.94,2.94,2.37,2.45,2.14
1_M_054,Writing on a blackboard,1,M,4.44,1.41,2.89,2.31,4.19,1.66,4.70,1.06,3.00,2.08,2.78,2.55
3_F_054,Writing on a blackboard,3,F,4.73,1.37,2.05,1.67,4.65,1.44,4.81,1.33,2.26,1.67,1.83,1.66
3_M_054,Writing on a blackboard,3,M,5.53,1.27,3.70,2.54,5.72,1.17,5.31,1.38,4.21,2.74,3.18,2.25
1_F_055,Flipping through the pages of a notebook,1,F,4.80,1.60,1.94,1.71,5.13,1.38,4.47,1.76,2.08,1.94,1.81,1.49
1_M_055,Flipping through the pages of a notebook,1,M,4.71,1.83,1.69,1.40,4.96,2.11,4.46,1.50,2.00,1.73,1.37,0.85
3_F_055,Flipping through the pages of a notebook,3,F,4.95,1.32,2.54,1.88,4.78,1.48,5.15,1.08,2.36,1.66,2.71,2.09
3_M_055,Flipping through the pages of a notebook,3,M,4.95,1.92,2.35,1.98,5.14,1.59,4.74,2.26,2.28,1.89,2.42,2.09
1_F_056,Setting the hands of the clock,1,F,5.00,1.52,1.59,1.04,4.77,1.61,5.23,1.42,1.61,1.20,1.57,0.86
1_M_056,Setting the hands of the clock,1,M,4.84,1.37,2.48,1.94,4.72,1.53,5.00,1.17,2.21,1.57,2.75,2.25
3_F_056,Setting the hands of the clock,3,F,5.00,1.09,2.16,1.82,4.86,0.57,5.16,1.46,2.41,2.26,1.90,1.22
3_M_056,Setting the hands of the clock,3,M,5.05,1.35,1.81,1.43,4.87,1.20,5.23,1.48,1.92,1.60,1.70,1.27
1_F_057,Highlighting a written passage,1,F,5.08,1.41,3.62,2.68,4.65,1.45,5.53,1.22,3.69,2.40,3.56,2.98
1_M_057,Highlighting a written passage,1,M,4.71,1.61,2.49,1.97,4.65,1.70,4.77,1.56,3.00,2.34,1.97,1.35
3_F_057,Highlighting a written passage,3,F,5.53,1.60,3.54,2.50,5.59,1.56,5.46,1.68,3.89,2.67,3.18,2.31
3_M_057,Highlighting a written passage,3,M,5.28,1.43,2.90,2.24,5.43,0.93,5.11,1.85,3.19,2.42,2.61,2.04
1_F_058,Stapling together sheets of paper,1,F,4.90,1.48,2.25,1.80,5.10,1.58,4.68,1.38,2.13,1.62,2.39,1.98
1_M_058,Stapling together sheets of paper,1,M,4.69,1.43,2.13,1.59,4.58,1.46,4.80,1.42,2.00,1.13,2.26,1.95
3_F_058,Stapling together sheets of paper,3,F,4.58,1.64,1.98,1.80,4.31,1.76,4.85,1.49,2.06,1.81,1.90,1.83
3_M_058,Stapling together sheets of paper,3,M,5.67,1.15,2.11,1.66,5.72,1.14,5.62,1.17,2.57,2.04,1.64,0.99
1_F_059,Cutting a sheet of paper,1,F,5.14,1.00,2.20,1.74,5.16,1.05,5.12,0.95,2.36,1.91,2.04,1.57
1_M_059,Cutting a sheet of paper,1,M,4.93,1.37,2.22,1.83,4.86,1.53,5.00,1.20,2.28,1.82,2.16,1.86
3_F_059,Cutting a sheet of paper,3,F,4.74,1.37,2.08,1.64,4.81,1.28,4.67,1.47,2.42,1.94,1.74,1.23
3_M_059,Cutting a sheet of paper,3,M,4.60,1.36,1.90,1.66,4.35,1.50,4.85,1.19,2.00,1.73,1.80,1.61
1_F_060,Using the compass,1,F,5.56,1.84,2.43,1.82,5.35,1.87,5.77,1.82,2.77,2.03,2.07,1.53
1_M_060,Using the compass,1,M,5.91,1.34,3.34,2.35,5.84,1.22,6.00,1.50,3.54,2.52,3.14,2.19
3_F_060,Using the compass,3,F,5.23,1.69,2.79,1.92,4.86,1.71,5.63,1.61,2.94,2.05,2.65,1.80
3_M_060,Using the compass,3,M,5.48,1.27,2.28,1.84,5.39,1.38,5.57,1.17,2.31,1.72,2.26,1.99
1_F_061, Hugging someone,1,F,7.16,1.62,4.93,2.25,7.66,1.18,6.54,1.88,4.86,1.98,5.00,2.52
1_M_061, Hugging someone,1,M,7.35,1.76,5.27,2.40,7.33,1.80,7.37,1.77,5.81,2.53,4.71,2.16
3_F_061, Hugging someone,3,F,7.49,1.35,4.75,2.79,7.58,1.65,7.40,0.97,4.73,2.57,4.78,3.03
3_M_061, Hugging someone,3,M,7.23,1.85,4.43,2.57,7.19,2.10,7.27,1.61,4.90,2.64,3.93,2.45
1_F_062,Caressing someone,1,F,6.40,2.49,4.62,2.43,6.57,2.31,6.21,2.72,5.34,2.18,3.87,2.47
1_M_062,Caressing someone,1,M,6.52,2.12,4.00,2.71,6.87,2.00,6.17,2.21,3.77,2.66,4.22,2.79
3_F_062,Caressing someone,3,F,6.79,1.63,5.03,2.27,6.54,1.96,7.04,1.18,5.35,2.11,4.70,2.41
3_M_062,Caressing someone,3,M,7.28,1.41,5.34,2.33,7.59,1.16,6.88,1.61,5.04,2.38,5.64,2.28
1_F_063,Watering a plant,1,F,5.97,1.36,2.36,1.87,6.06,1.46,5.85,1.26,3.00,2.05,1.71,1.44
1_M_063,Watering a plant,1,M,5.75,1.32,2.48,1.92,5.57,1.40,5.95,1.22,2.59,1.98,2.35,1.87
3_F_063,Watering a plant,3,F,6.15,1.42,1.83,1.41,6.23,1.56,6.07,1.28,1.85,1.46,1.81,1.39
3_M_063,Watering a plant,3,M,5.62,1.88,2.31,1.68,5.31,1.85,5.92,1.90,2.39,1.80,2.23,1.57
1_F_064,Kissing someone,1,F,7.30,1.30,4.44,2.50,7.38,1.32,7.21,1.32,4.72,2.40,4.16,2.61
1_M_064,Kissing someone,1,M,6.77,1.90,4.43,2.67,7.13,1.59,6.40,2.14,4.31,2.57,4.56,2.81
3_F_064,Kissing someone,3,F,6.60,1.90,4.28,2.65,6.50,2.14,6.69,1.67,5.00,2.74,3.53,2.37
3_M_064,Kissing someone,3,M,7.07,1.78,4.54,2.52,7.59,1.46,6.42,1.94,4.54,2.43,4.54,2.66
1_F_065,Dancing with someone,1,F,6.41,1.85,4.70,2.31,7.09,1.44,5.58,1.96,5.00,2.28,4.39,2.35
1_M_065,Dancing with someone,1,M,6.28,1.91,4.48,2.25,6.43,1.89,6.11,1.97,4.69,2.32,4.26,2.19
3_F_065,Dancing with someone,3,F,7.03,1.60,4.74,2.88,7.13,1.91,6.93,1.23,4.46,2.77,5.00,3.01
3_M_065,Dancing with someone,3,M,6.63,2.06,4.59,2.54,6.88,2.27,6.38,1.83,5.00,2.37,4.17,2.68
1_F_066,Solving a puzzle,1,F,6.64,1.62,4.79,2.63,6.77,1.43,6.50,1.81,4.77,2.42,4.81,2.86
1_M_066,Solving a puzzle,1,M,6.98,1.99,3.66,2.48,7.00,2.45,6.96,1.46,3.71,2.47,3.60,2.53
3_F_066,Solving a puzzle,3,F,6.86,1.47,4.09,2.38,7.06,1.48,6.62,1.44,4.54,2.49,3.64,2.23
3_M_066,Solving a puzzle,3,M,6.40,1.88,3.79,2.30,6.62,2.01,6.16,1.74,4.25,2.40,3.32,2.14
1_F_067,Counting money,1,F,6.13,2.17,3.87,2.39,6.19,2.25,6.05,2.15,4.28,2.30,3.45,2.43
1_M_067,Counting money,1,M,6.08,1.79,3.79,2.62,6.10,1.68,6.07,1.93,3.62,2.26,3.96,2.95
3_F_067,Counting money,3,F,5.83,1.80,3.85,2.33,5.92,2.02,5.73,1.59,4.03,2.29,3.67,2.40
3_M_067,Counting money,3,M,5.67,1.64,3.63,2.51,5.75,1.61,5.58,1.70,3.61,2.59,3.64,2.48
1_F_068,Giving a gift to someone,1,F,6.97,1.73,4.45,2.63,7.32,1.28,6.60,2.06,4.31,2.45,4.59,2.83
1_M_068,Giving a gift to someone,1,M,7.00,1.56,4.66,2.35,6.85,1.71,7.15,1.41,5.42,2.28,3.87,2.19
3_F_068,Giving a gift to someone,3,F,7.03,1.34,5.04,2.35,7.25,1.32,6.77,1.34,5.14,2.46,4.93,2.28
3_M_068,Giving a gift to someone,3,M,6.78,2.51,4.25,2.60,7.05,2.42,6.47,2.63,4.53,2.83,3.97,2.34
1_F_069,Making soap bubbles,1,F,6.57,1.35,4.48,2.43,7.22,1.04,5.77,1.27,5.00,2.64,3.96,2.13
1_M_069,Making soap bubbles,1,M,6.43,1.82,3.43,1.97,6.57,1.89,6.26,1.79,3.69,2.28,3.16,1.59
3_F_069,Making soap bubbles,3,F,6.74,1.44,3.81,2.63,6.97,0.95,6.50,1.80,4.23,2.86,3.41,2.37
3_M_069,Making soap bubbles,3,M,6.13,2.03,3.46,2.38,6.15,2.27,6.12,1.80,4.00,2.42,2.90,2.25
1_F_070,Making a toast,1,F,6.42,1.98,3.93,2.75,6.46,1.98,6.38,2.02,3.77,2.60,4.10,2.93
1_M_070,Making a toast,1,M,6.93,1.46,4.16,2.15,7.09,1.35,6.73,1.59,4.25,2.38,4.07,1.92
3_F_070,Making a toast,3,F,7.18,1.58,3.87,2.21,7.05,1.43,7.32,1.77,4.16,2.26,3.58,2.16
3_M_070,Making a toast,3,M,6.49,1.89,4.66,2.57,6.68,1.89,6.30,1.91,4.54,2.47,4.78,2.71
1_F_071,Celebrating with someone,1,F,7.16,1.85,4.60,2.93,7.23,2.00,7.10,1.71,4.58,2.97,4.63,2.95
1_M_071,Celebrating with someone,1,M,6.85,2.02,4.75,2.72,6.46,2.23,7.23,1.75,5.45,2.62,4.03,2.68
3_F_071,Celebrating with someone,3,F,7.14,1.81,5.30,2.40,7.25,1.92,7.00,1.70,5.32,2.21,5.29,2.61
3_M_071,Celebrating with someone,3,M,7.35,1.29,5.21,2.21,7.24,1.22,7.47,1.39,5.47,2.30,4.94,2.11
1_F_072,Playing cards,1,F,6.55,2.27,5.66,2.71,6.59,2.08,6.50,2.53,5.96,2.83,5.36,2.60
1_M_072,Playing cards,1,M,7.03,1.86,5.02,2.77,6.71,2.15,7.37,1.46,4.72,2.88,5.32,2.66
3_F_072,Playing cards,3,F,6.08,1.83,4.91,2.77,6.19,1.78,5.97,1.90,4.62,2.62,5.19,2.92
3_M_072,Playing cards,3,M,6.67,1.91,4.36,2.75,6.73,2.13,6.62,1.70,4.23,2.86,4.50,2.67
1_F_073,Playing with the yo-yo,1,F,5.98,2.18,3.52,2.44,6.14,2.20,5.79,2.20,4.13,2.51,2.90,2.23
1_M_073,Playing with the yo-yo,1,M,6.41,1.46,3.40,2.45,6.48,1.41,6.33,1.54,3.00,2.19,3.78,2.67
3_F_073,Playing with the yo-yo,3,F,5.77,1.70,3.16,2.19,5.50,1.88,6.04,1.48,3.39,2.26,2.93,2.13
3_M_073,Playing with the yo-yo,3,M,6.10,1.41,3.59,2.31,6.22,1.48,5.96,1.34,3.96,2.55,3.21,2.02
1_F_074,Throwing confetti,1,F,5.59,2.24,4.88,2.17,5.91,2.33,5.19,2.10,5.11,2.17,4.64,2.18
1_M_074,Throwing confetti,1,M,6.73,2.01,3.51,2.28,7.38,1.43,6.00,2.33,3.56,2.33,3.45,2.26
3_F_074,Throwing confetti,3,F,6.18,1.66,4.09,2.30,6.58,1.39,5.77,1.83,3.96,2.25,4.22,2.38
3_M_074,Throwing confetti,3,M,5.92,1.92,3.57,2.22,6.00,2.08,5.85,1.78,3.84,2.10,3.30,2.34
1_F_075,Eating pizza,1,F,7.73,1.88,5.54,2.45,7.95,1.66,7.47,2.12,5.94,2.41,5.13,2.46
1_M_075,Eating pizza,1,M,7.31,1.96,5.77,2.81,7.68,1.87,6.93,2.02,5.35,2.92,6.19,2.69
3_F_075,Eating pizza,3,F,7.17,2.11,5.56,2.68,7.27,2.20,7.08,2.06,6.19,2.41,4.90,2.82
3_M_075,Eating pizza,3,M,7.76,1.38,6.05,2.47,7.94,1.56,7.54,1.10,6.21,2.42,5.89,2.54
1_F_076,Eating cake,1,F,5.73,2.16,4.16,2.35,5.62,2.60,5.84,1.61,4.44,2.33,3.87,2.38
1_M_076,Eating cake,1,M,6.44,2.07,4.13,2.75,7.03,1.89,5.83,2.10,3.42,2.28,4.81,3.01
3_F_076,Eating cake,3,F,6.85,1.81,4.39,2.78,6.77,2.03,6.92,1.60,5.32,2.70,3.43,2.57
3_M_076,Eating cake,3,M,6.90,2.00,4.50,2.50,6.88,2.14,6.92,1.85,4.79,2.66,4.21,2.35
1_F_077,Walking with someone,1,F,5.93,2.27,4.57,2.39,5.76,2.47,6.11,2.08,5.03,2.32,4.10,2.41
1_M_077,Walking with someone,1,M,6.36,2.18,4.26,2.80,6.61,2.16,6.10,2.20,3.96,2.86,4.56,2.75
3_F_077,Walking with someone,3,F,6.60,2.09,4.38,2.54,6.31,2.20,6.88,1.97,4.71,2.44,4.03,2.65
3_M_077,Walking with someone,3,M,6.76,1.58,4.75,2.60,7.16,1.42,6.27,1.66,4.82,2.42,4.68,2.82
1_F_078,Having coffee with someone,1,F,6.10,1.67,3.00,2.09,5.73,1.76,6.46,1.53,3.10,2.01,2.90,2.20
1_M_078,Having coffee with someone,1,M,6.91,1.37,4.11,2.43,6.97,1.45,6.85,1.29,4.50,2.32,3.71,2.52
3_F_078,Having coffee with someone,3,F,6.15,2.17,3.02,2.01,5.95,1.83,6.37,2.52,2.97,2.16,3.06,1.88
3_M_078,Having coffee with someone,3,M,6.41,1.82,3.85,2.56,6.39,1.61,6.43,2.05,3.65,2.30,4.04,2.82
1_F_079,Preparing pizza dough,1,F,6.03,1.64,3.96,2.43,6.09,1.78,5.96,1.48,4.29,2.62,3.64,2.21
1_M_079,Preparing pizza dough,1,M,6.20,2.10,3.71,2.11,5.81,2.18,6.63,1.98,3.97,2.06,3.45,2.16
3_F_079,Preparing pizza dough,3,F,6.15,1.95,3.62,2.54,6.48,1.96,5.80,1.90,3.62,2.52,3.63,2.62
3_M_079,Preparing pizza dough,3,M,5.85,2.11,3.46,2.51,5.69,2.15,6.00,2.10,4.13,2.68,2.77,2.16
1_F_080,Receiving flowers from someone,1,F,7.11,2.10,4.94,2.82,7.55,2.08,6.67,2.06,5.08,2.90,4.81,2.79
1_M_080,Receiving flowers from someone,1,M,6.25,2.24,4.31,2.32,5.85,2.33,6.65,2.12,4.90,2.24,3.70,2.28
3_F_080,Receiving flowers from someone,3,F,7.38,1.79,5.64,2.38,7.84,1.44,6.81,2.04,5.61,2.39,5.68,2.40
3_M_080,Receiving flowers from someone,3,M,6.30,2.27,4.86,2.28,5.86,2.29,6.79,2.20,5.66,2.16,4.03,2.12
1_F_081,Greeting someone,1,F,6.64,1.44,3.63,2.15,6.97,1.15,6.23,1.66,4.14,2.41,3.11,1.73
1_M_081,Greeting someone,1,M,6.38,1.69,4.13,2.40,6.19,1.66,6.58,1.74,4.75,2.34,3.48,2.32
3_F_081,Greeting someone,3,F,6.15,2.02,4.23,2.78,6.42,1.91,5.87,2.13,4.35,2.64,4.11,2.97
3_M_081,Greeting someone,3,M,6.27,1.81,3.69,2.41,6.19,1.96,6.35,1.67,3.97,2.50,3.40,2.33
1_F_082,Unwrapping a chocolate candy,1,F,6.42,2.05,3.26,2.27,6.04,2.52,6.81,1.39,3.55,2.03,2.97,2.50
1_M_082,Unwrapping a chocolate candy,1,M,6.53,1.66,4.13,2.43,6.53,1.90,6.54,1.33,4.25,2.49,4.00,2.40
3_F_082,Unwrapping a chocolate candy,3,F,6.25,2.13,4.27,2.34,6.48,2.25,6.00,2.03,4.84,2.55,3.68,1.96
3_M_082,Unwrapping a chocolate candy,3,M,6.31,1.84,4.06,2.60,6.52,1.84,6.10,1.84,3.35,2.13,4.74,2.85
1_F_083,Unwrapping a present,1,F,6.58,1.80,4.78,2.17,6.76,1.97,6.37,1.61,5.16,1.95,4.39,2.35
1_M_083,Unwrapping a present,1,M,6.16,1.76,4.66,2.72,6.29,1.72,6.03,1.83,4.08,2.58,5.22,2.78
3_F_083,Unwrapping a present,3,F,6.15,2.14,4.48,2.69,6.15,2.05,6.15,2.26,4.90,2.64,4.03,2.72
3_M_083,Unwrapping a present,3,M,6.71,1.50,4.89,2.47,7.09,1.53,6.23,1.34,4.61,2.41,5.18,2.54
1_F_084,Lighting sparklers,1,F,6.10,1.81,2.54,1.82,6.19,2.14,6.00,1.44,2.65,1.96,2.43,1.70
1_M_084,Lighting sparklers,1,M,6.22,1.43,4.11,2.44,6.56,1.32,5.81,1.47,4.32,2.60,3.89,2.30
3_F_084,Lighting sparklers,3,F,6.45,1.48,3.87,2.30,6.52,1.54,6.37,1.46,3.84,2.26,3.90,2.39
3_M_084,Lighting sparklers,3,M,6.48,1.57,3.64,2.25,6.42,1.48,6.53,1.68,3.38,2.08,3.89,2.41
1_F_085,Blowing candles,1,F,6.93,2.21,4.91,2.79,7.32,1.99,6.53,2.37,4.58,2.66,5.22,2.93
1_M_085,Blowing candles,1,M,7.00,1.50,4.89,2.67,7.00,1.65,7.00,1.36,5.00,2.57,4.77,2.80
3_F_085,Blowing candles,3,F,7.21,2.07,5.55,2.34,7.38,2.23,7.00,1.88,5.93,2.23,5.18,2.44
3_M_085,Blowing candles,3,M,7.15,1.83,5.08,2.28,7.14,2.22,7.16,1.34,5.66,2.34,4.48,2.10
1_F_086,Spraying perfume on,1,F,5.98,1.83,2.66,2.11,5.92,1.83,6.04,1.87,2.81,2.30,2.50,1.93
1_M_086,Spraying perfume on,1,M,6.41,1.28,3.55,2.30,6.56,1.19,6.23,1.39,3.89,2.45,3.21,2.11
3_F_086,Spraying perfume on,3,F,6.68,1.65,2.97,2.09,6.29,1.71,7.11,1.52,3.06,2.05,2.87,2.16
3_M_086,Spraying perfume on,3,M,6.41,1.63,2.64,2.39,6.52,1.63,6.30,1.64,2.15,1.93,3.11,2.72
1_F_087,Lying down on the bed,1,F,6.12,2.16,2.89,2.42,6.12,2.21,6.12,2.14,2.84,2.35,2.93,2.52
1_M_087,Lying down on the bed,1,M,5.83,2.06,3.64,2.75,5.91,2.16,5.73,1.97,4.29,2.93,3.00,2.45
3_F_087,Lying down on the bed,3,F,7.08,2.31,3.56,2.53,6.90,2.28,7.26,2.40,4.03,2.66,3.06,2.34
3_M_087,Lying down on the bed,3,M,6.69,1.66,4.04,2.87,7.19,1.47,6.17,1.70,4.08,2.86,4.00,2.94
1_F_088,Playing the drums,1,F,6.38,1.59,4.00,2.20,6.66,1.64,6.04,1.48,3.93,2.07,4.07,2.36
1_M_088,Playing the drums,1,M,6.13,1.28,3.14,2.49,6.00,1.30,6.26,1.28,3.56,2.63,2.71,2.31
3_F_088,Playing the drums,3,F,6.33,1.80,4.06,2.52,6.35,1.92,6.30,1.70,3.54,2.25,4.56,2.71
3_M_088,Playing the drums,3,M,6.46,1.90,3.75,2.52,6.46,2.25,6.46,1.53,3.94,2.42,3.57,2.65
1_F_089,Playing the guitar,1,F,6.30,1.91,3.53,2.69,6.26,1.84,6.33,2.01,2.69,2.04,4.33,3.01
1_M_089,Playing the guitar,1,M,5.98,1.84,3.64,2.46,5.73,2.13,6.23,1.50,3.71,2.37,3.57,2.58
3_F_089,Playing the guitar,3,F,6.71,1.38,4.27,2.56,6.88,1.16,6.50,1.61,4.39,2.28,4.14,2.85
3_M_089,Playing the guitar,3,M,5.78,1.89,4.06,2.39,5.52,1.86,6.05,1.93,4.16,2.59,3.97,2.20
1_F_090,Finding cash,1,F,7.48,1.96,5.84,2.56,7.14,2.22,7.84,1.61,6.69,2.35,4.97,2.51
1_M_090,Finding cash,1,M,7.41,2.07,6.66,2.47,7.77,1.76,7.03,2.31,6.08,2.50,7.22,2.36
3_F_090,Finding cash,3,F,6.73,1.97,5.72,2.85,6.50,2.10,6.96,1.84,5.77,2.83,5.67,2.92
3_M_090,Finding cash,3,M,7.22,1.73,5.96,2.37,7.50,1.32,6.88,2.10,6.11,2.30,5.82,2.48
,,,,,,,,,,,,,,,
LEGEND,,,,,,,,,,,,,,,
Video_ID,Code assigned to each video in the database,,,,,,,,,,,,,,
Action_description,Description of the action presented in each video,,,,,,,,,,,,,,
POV,Point of View  (1=first-person / 3=third-person),,,,,,,,,,,,,,
Gender,Gender of the main actor (M = male / F = female),,,,,,,,,,,,,,
V_M_Tot,Valence mean score obtained from the rating,,,,,,,,,,,,,,
V_SD_Tot,Valence standard deviation obtained from the rating,,,,,,,,,,,,,,
A_M_Tot,Arousal mean score obtained from the rating,,,,,,,,,,,,,,
A_SD_Tot,Arousal standard deviation obtained from the rating,,,,,,,,,,,,,,
V_M_Fem,Valence mean score obtained from the rating by female subjects,,,,,,,,,,,,,,
V_SD_Fem,Valence standard deviation obtained from the rating by female subjects,,,,,,,,,,,,,,
V_M_Mal,Valence mean score obtained from the rating by male subjects,,,,,,,,,,,,,,
V_SD_Mal,Valence standard deviation obtained from the rating by male subjects,,,,,,,,,,,,,,
A_M_Fem,Arousal mean score obtained from the rating by female subjects,,,,,,,,,,,,,,
A_SD_Fem,Arousal standard deviation obtained from the rating by female subjects,,,,,,,,,,,,,,
A_M_Mal,Arousal mean score obtained from the rating by male subjects,,,,,,,,,,,,,,
A_SD_Mal,Arousal standard deviation obtained from the rating by male subjects,,,,,,,,,,,,,,
