CAAV Dataset,,,,,,,,,,,,,,,
Video_ID,Action_description,POV,Gender,V_M_Tot,V_SD_Tot,A_M_Tot,A_SD_Tot,V_M_Fem,V_SD_Fem,V_M_Mal,V_SD_Mal,A_M_Fem,A_SD_Fem,A_M_Mal,A_SD_Mal
1_M_012,Throwing a rock,1,M,3.21,2.23,5.87,2.52,3.50,2.23,2.92,2.24,6.39,2.14,5.33,2.80
3_F_012,Throwing a rock,3,F,4.00,2.32,5.75,2.28,3.56,2.23,4.54,2.35,5.50,2.47,6.00,2.09
3_M_012,Throwing a rock,3,M,2.70,2.30,5.65,2.27,3.10,2.77,2.26,1.59,6.25,2.02,5.03,2.39
1_F_013,Measuring one's fever,1,F,3.23,1.57,4.21,2.71,3.42,1.72,3.04,1.40,4.65,2.67,3.77,2.74
1_M_013,Measuring one's fever,1,M,3.16,1.52,4.73,2.49,2.84,1.42,3.54,1.58,4.96,2.69,4.50,2.30
3_F_013,Measuring one's fever,3,F,3.28,1.92,3.51,2.26,2.90,1.81,3.68,2.00,3.84,2.41,3.16,2.07
3_M_013,Measuring one's fever,3,M,3.46,1.64,4.68,2.53,3.23,1.61,3.70,1.66,4.12,2.34,5.22,2.62
1_F_014,Losing hair,1,F,2.38,1.44,6.02,2.71,2.16,1.34,2.60,1.52,6.12,2.64,5.93,2.83
1_M_014,Losing hair,1,M,2.67,1.68,5.87,2.57,2.69,2.00,2.65,1.32,6.87,1.84,4.83,2.82
3_F_014,Losing hair,3,F,2.17,1.45,6.20,2.51,1.81,1.12,2.62,1.70,6.71,2.66,5.68,2.28
3_M_014,Losing hair,3,M,2.88,1.95,5.84,2.63,2.71,2.24,3.05,1.61,6.19,2.61,5.48,2.64
1_F_015,Stepping on dirt,1,F,3.05,1.94,5.79,2.55,3.16,1.98,2.93,1.91,5.42,2.21,6.15,2.84
1_M_015,Stepping on dirt,1,M,4.40,2.44,5.34,2.60,4.27,2.41,4.54,2.52,5.94,2.58,4.73,2.52
3_F_015,Stepping on dirt,3,F,3.28,1.74,5.55,2.31,3.28,1.76,3.27,1.73,5.57,2.22,5.54,2.44
3_M_015,Stepping on dirt,3,M,2.65,1.37,4.56,2.22,2.57,1.29,2.74,1.48,4.66,2.16,4.45,2.31
1_F_016,Being pinched by someone,1,F,2.78,1.93,5.44,2.39,2.14,1.31,3.47,2.27,6.41,2.17,4.45,2.23
1_M_016,Being pinched by someone,1,M,4.03,2.05,4.55,2.63,3.81,2.09,4.27,2.02,4.42,2.59,4.67,2.70
