,Valence,Valence_past_ma10
0,4.4,
1,5.095238095,4.4
2,5.571428571,4.747619047500001
3,4.708333333,5.022222222
4,4.45,4.9437499997500005
5,4.6,4.844999999800001
6,5.0,4.8041666665
7,5.666666667,4.832142857
8,5.047619048,4.93645833325
9,6.04,4.948809523777778
10,3.52,5.0579285714
11,4.875,4.9699285714
12,5.380952381,4.9479047619
13,5.916666667,4.9288571429
14,5.571428571,5.0496904762999995
15,4.5,5.161833333400001
16,5.238095238,5.151833333400001
17,4.25,5.175642857200001
18,5.0,5.033976190500001
19,4.9,5.0292142857
20,4.761904762,4.9152142857
21,4.56,5.0394047619
22,4.6,5.007904761900001
23,4.791666667,4.9298095238
24,5.4,4.8173095238000005
25,5.2,4.800166666699999
26,4.9,4.870166666699999
27,5.45,4.8363571429
28,5.72,4.9563571429
29,5.4,5.0283571429
30,4.8,5.0783571429
31,5.0,5.0821666667
32,4.95,5.1261666667
33,4.80952381,5.1611666667
34,5.6,5.162952381
35,2.761904762,5.182952381000001
36,4.7,4.9391428572
37,4.65,4.9191428572
38,4.56,4.8391428572
39,4.166666667,4.7231428572
40,4.64,4.5998095239
41,4.2,4.583809523899999
42,4.4,4.5038095239
43,5.28,4.4488095239000005
44,5.75,4.4958571429
45,5.238095238,4.5108571429
46,4.833333333,4.7584761905
47,4.24,4.7718095238
48,5.416666667,4.7308095238
49,5.125,4.8164761904999995
50,4.380952381,4.912309523799999
51,5.0,4.8864047619
52,4.952380952,4.9664047619
53,4.52,5.0216428571
54,4.333333333,4.945642857099999
55,5.35,4.803976190399999
56,4.44,4.8151666666
57,5.44,4.7758333333
58,5.095238095,4.895833333300001
59,5.476190476,4.8636904761
60,3.44,4.898809523700001
61,5.714285714,4.8047142856
62,4.875,4.8761428570000005
63,5.625,4.868404761799999
64,4.8,4.9789047618
65,5.166666667,5.0255714285
66,5.05,5.0072380952
67,4.904761905,5.0682380952
68,4.85,5.0147142857
69,4.958333333,4.9901904762000004
70,4.8,4.9384047619
71,4.476190476,5.0744047619
72,5.0,4.9505952381
73,5.28,4.9630952381
74,4.15,4.9285952381
75,4.44,4.863595238099999
76,5.8,4.7909285714
77,4.833333333,4.8659285714
78,5.25,4.8587857142
79,5.28,4.8987857142
80,4.619047619,4.9309523809
81,5.047619048,4.9128571428
82,6.08,4.970000000000001
83,4.625,5.078
84,5.4,5.0125
85,4.9,5.1375
86,4.708333333,5.1835
87,4.95,5.0743333333
88,6.166666667,5.086
89,4.958333333,5.1776666667
90,4.56,5.1455
91,5.428571429,5.1395952381
92,4.3,5.1776904762000004
93,4.36,4.9996904762
94,4.85,4.9731904762
95,5.6,4.9181904761999995
96,4.76,4.9881904762
97,4.55,4.9933571429
98,4.80952381,4.953357142899999
99,5.15,4.8176428572
100,5.05,4.8368095238999995
101,4.476190476,4.8858095239
102,4.8,4.7905714286
103,5.95,4.8405714286
104,4.92,4.9995714286
105,4.791666667,5.0065714286
106,3.75,4.9257380953
107,5.75,4.824738095300001
108,3.6,4.944738095300001
109,4.95,4.8237857143
110,5.571428571,4.8037857143
111,3.476190476,4.8559285714
112,5.16,4.7559285714
113,4.5,4.791928571400001
114,5.0,4.6469285714
115,4.85,4.6549285714
116,4.56,4.6607619047
117,4.7,4.7417619047
118,4.708333333,4.6367619047
119,4.875,4.747595238000001
120,4.75,4.740095238
121,4.55,4.6579523809
122,4.761904762,4.7653333333
123,4.583333333,4.725523809499999
124,4.96,4.7338571428
125,5.428571429,4.729857142799999
126,4.714285714,4.7877142857
127,5.083333333,4.8031428571
128,5.25,4.8414761904
129,5.571428571,4.8956428570999995
130,5.285714286,4.9652857142
131,4.666666667,5.0188571428
132,5.047619048,5.0305238095
133,5.083333333,5.0590952381
134,5.6,5.109095238099999
135,5.380952381,5.1730952381
136,2.3,5.1683333333
137,6.208333333,4.9269047618999995
138,4.625,5.0394047619
139,4.714285714,4.9769047619
140,4.72,4.8911904762
141,4.380952381,4.8346190476
142,4.238095238,4.806047619
143,4.333333333,4.725095238
144,4.952380952,4.6500952380000005
145,4.958333333,4.5853333331999995
146,4.5,4.543071428399999
147,5.08,4.7630714284
148,4.952380952,4.650238095099999
149,5.56,4.6829761903
150,5.0,4.767547618899999
151,4.3,4.7955476189
152,5.3,4.7874523808
153,4.45,4.893642857
154,4.571428571,4.9053095237
155,4.5,4.8672142856
156,4.958333333,4.8213809523
157,4.476190476,4.8672142856
158,4.714285714,4.806833333199999
159,4.85,4.7830238093999995
160,4.85,4.7120238094
161,5.047619048,4.6970238094
162,5.2,4.7717857142
163,5.36,4.7617857142
164,6.12,4.8527857141999995
165,5.125,5.0076428571000005
166,5.12,5.0701428571000005
167,5.25,5.0863095238
168,4.55,5.1636904762
169,4.75,5.1472619048
170,5.12,5.137261904800001
171,4.857142857,5.1642619048
172,4.8,5.1452142857
173,4.8,5.1052142857
174,5.19047619,5.049214285700001
175,3.75,4.9562619047
176,4.904761905,4.8187619047
177,5.904761905,4.7972380952
178,4.88,4.8627142857
179,5.76,4.8957142857
180,4.714285714,4.9967142856999995
181,5.5,4.9561428571
182,4.3,5.0204285714
183,6.285714286,4.9704285714
184,4.04,5.119
185,5.714285714,5.0039523809999995
186,4.791666667,5.2003809524
187,4.6,5.1890714286
188,4.5,5.0585952381
189,5.52,5.0205952381
190,4.64,4.996595238099999
191,4.523809524,4.989166666699999
192,4.75,4.8915476191
193,4.666666667,4.9365476191
194,5.142857143,4.7746428572
195,4.666666667,4.8849285715
196,5.428571429,4.7801666668000005
197,5.428571429,4.843857142999999
198,4.75,4.926714285899999
199,6.25,4.9517142859
200,4.75,5.0247142859
201,4.958333333,5.0357142859
202,5.3,5.0791666668
203,4.541666667,5.1341666668000006
204,5.375,5.1216666668
205,4.428571429,5.1448809525
206,5.0,5.1210714287
207,4.72,5.0782142858
208,5.0,5.0073571429
209,4.208333333,5.0323571429
210,4.833333333,4.8281904762000005
211,6.0,4.8365238095
212,3.6,4.9406904762
213,5.095238095,4.7706904762
214,5.0,4.826047619
215,5.047619048,4.788547619
216,5.166666667,4.8504523809
217,4.428571429,4.8671190476
218,4.375,4.837976190499999
219,4.92,4.775476190499999
220,5.96,4.8466428572
221,4.76,4.9593095239
222,4.25,4.8353095238999995
223,4.75,4.9003095239
224,5.44,4.865785714399999
225,4.714285714,4.9097857144
226,5.55,4.876452381
227,4.75,4.914785714300001
228,5.16,4.9469285714
229,5.88,5.0254285714
230,4.9,5.1214285714
231,4.5,5.015428571399999
232,4.64,4.9894285713999995
233,4.9,5.0284285714
234,5.32,5.0434285714
235,5.375,5.0314285714
236,4.75,5.097499999999999
237,2.25,5.0175
238,5.4,4.7675
239,4.84,4.791500000000001
240,4.75,4.6875
241,5.047619048,4.6725
242,4.9,4.727261904800001
243,4.5,4.7532619048
244,4.8,4.7132619048
245,4.8,4.6612619048
246,5.52,4.603761904800001
247,5.0,4.6807619048
248,4.904761905,4.9557619048
249,5.05,4.906238095299999
250,4.571428571,4.9272380953
251,5.428571429,4.9093809524
252,3.833333333,4.9474761905
253,4.75,4.8408095238
254,4.916666667,4.8658095238
255,4.5,4.8774761905
256,4.958333333,4.8474761905
257,4.88,4.791309523800001
258,3.8,4.7793095238
259,4.85,4.6688333333
260,4.791666667,4.6488333333
261,4.583333333,4.670857142899999
262,3.65,4.5863333333
263,5.291666667,4.568
264,5.428571429,4.622166666699999
265,5.904761905,4.6733571429
266,4.6,4.8138333334
267,5.238095238,4.7780000001
268,5.24,4.8138095239
269,4.791666667,4.9578095239
270,4.48,4.9519761906
271,4.857142857,4.9208095239
272,4.45,4.948190476300001
273,4.583333333,5.0281904763
274,4.875,4.957357142899999
275,4.95,4.902
276,3.28,4.8065238095
277,4.95,4.6745238095
278,5.65,4.6457142857000004
279,4.904761905,4.6867142857
280,5.428571429,4.6980238095
281,5.1,4.7928809524
282,3.916666667,4.8171666667
283,4.791666667,4.763833333399999
284,6.3,4.7846666668
285,4.380952381,4.9271666668
286,4.95,4.8702619049
287,6.28,5.0372619049
288,4.714285714,5.1702619049
289,4.96,5.0766904763
290,6.619047619,5.0822142858
291,3.380952381,5.2012619048
292,4.65,5.0293571428999995
293,5.041666667,5.1026904762
294,5.4,5.1276904762
295,4.65,5.0376904762
296,5.4,5.0645952381
297,4.85,5.109595238100001
298,5.0,4.9665952381
299,5.0,4.9951666667
300,4.708333333,4.999166666700001
301,5.12,4.8080952381
302,4.96,4.982
303,5.458333333,5.013
304,4.68,5.0546666666
305,5.56,4.9826666666
306,4.1,5.073666666599999
307,5.19047619,4.9436666666
308,5.285714286,4.977714285599999
309,4.96,5.0062857142
310,4.36,5.0022857142
311,4.84,4.9674523809
312,5.166666667,4.9394523809
313,3.291666667,4.9601190476
314,4.65,4.743452381
315,5.28,4.740452381
316,4.55,4.712452381
317,5.16,4.757452381
318,4.8,4.754404762
319,4.92,4.705833333399999
320,5.285714286,4.7018333334
321,6.095238095,4.794404762
322,4.714285714,4.9199285715
323,4.68,4.8746904762
324,4.625,5.0135238095
325,4.952380952,5.0110238095
326,5.6,4.9782619047
327,5.541666667,5.0832619047000005
328,5.375,5.1214285714
329,5.238095238,5.1789285714
330,5.80952381,5.2107380952
